title,image,price,sku,short_description,description,cateogory,additional
Abominable Hoodie,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh09-blue_main.jpg,£69.00,MH09,This is a variable product called a Abominable Hoodie,"It took CoolTech™ weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It’s aggressively warm when it needs to be, while maintaining your comfort in milder climes.
• Blue heather hoodie.• Relaxed fit. • Moisture-wicking. • Machine wash/dry.",Hoodies & Sweatshirts,"[{'label': 'Size', 'values': ['XS', 'S', 'M', 'L', 'XL']}, {'label': 'Color', 'values': ['Blue', 'Green', 'Red']}]"
Adrienne Trek Jacket,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj08-gray_main.jpg,£57.00,WJ08,This is a variable product called a Adrienne Trek Jacket,"You’re ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.
• gray 1/4 zip pullover.• Comfortable, relaxed fit.• Front zip for venting.• Spacious, kangaroo pockets.• 27″ body length.• 95% Organic Cotton / 5% Spandex.",Erin Recommends|Clothing,"[{'label': 'Size', 'values': ['XS', 'S', 'M', 'L', 'XL']}, {'label': 'Color', 'values': ['Gray', 'Orange', 'Purple']}]"
Aeon Capri,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp07-black_main.jpg,£48.00,WP07,This is a variable product called a Aeon Capri,"Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear — and wear attractively.
• Black capris with teal accents.• Thick, 3″ flattering waistband.• Media pocket on inner waistband.• Dry wick finish for ultimate comfort and dryness.",Performance Fabrics|Clothing,"[{'label': 'Size', 'values': ['28', '29']}, {'label': 'Color', 'values': ['Black', 'Blue', 'Orange']}]"
Aero Daily Fitness Tee,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms01-blue_main.jpg,£24.00,MS01,This is a variable product called a Aero Daily Fitness Tee,"Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don’t be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.
Relaxed fit. Short-Sleeve. Machine wash/dry.",Tees,"[{'label': 'Size', 'values': ['XS', 'S', 'M', 'L', 'XL']}, {'label': 'Color', 'values': ['Black', 'Brown', 'Yellow']}]"
Aether Gym Pant,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp11-brown_main.jpg,£74.00,MP11,This is a variable product called a Aether Gym Pant,"The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.
• Pants/shorts convertible.• Lightweight moisture wicking. • Water repellent.• Belted waist.",Erin Recommends|Clothing,"[{'label': 'Size', 'values': ['32', '33', '34', '36']}, {'label': 'Color', 'values': ['Blue', 'Brown', 'Green']}]"
Affirm Water Bottle,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug06-lb-0.jpg,£7.00,24-UG06,This is a simple product called Affirm Water Bottle,"You’ll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you’re drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.

Made of plastic.
Grooved sides for an easy grip.",Fitness Equipment,[]
Aim Analog Watch,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg04-bk-0.jpg,£45.00,24-MG04,This is a simple product called Aim Analog Watch,"Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.

Japanese quartz movement.
Strap fits 7″ to 8.0″.",Watches,[]
Ajax Full-Zip Sweatshirt,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh12-green_main.jpg,£69.00,MH12,This is a variable product called a Ajax Full-Zip Sweatshirt,"The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.
• Mint striped full zip hoodie.• 100% bonded polyester fleece.• Pouch pocket.• Rib cuffs and hem. • Machine washable.",Hoodies & Sweatshirts,"[{'label': 'Size', 'values': ['XS', 'S', 'M', 'L', 'XL']}, {'label': 'Color', 'values': ['Blue', 'Green', 'Red']}]"
Ana Running Short,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh10-black_main.jpg,£40.00,WSH10,This is a variable product called a Ana Running Short,"Time to lace up your kicks and beat that personal best in the Ana Running Short. It’s designed with breathable mesh side panels to help keep you cool while you master the miles.
• Black/pink two-layer shorts.• Low-rise elastic waistband.• Relaxed fit. • Ultra-lightweight fabric. • Internal drawstring. • Machine wash/dry.",Eco Friendly|Clothing,"[{'label': 'Size', 'values': ['28', '29']}, {'label': 'Color', 'values': ['Black', 'Orange', 'White']}]"
Angel Light Running Short,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh06-gray_main.jpg,£42.00,WSH06,This is a variable product called a Angel Light Running Short,"The Angel Light Running Short offers comfort in an ultra-lightweight, breathable package. With fabric infused with all-natural Cocona® performance technology, it can whisk away sweat and block UV rays.
• Dark heather gray running shorts.• Snug fit. • Elastic waistband. • Cocona® performance fabric. • Machine wash/dry.",Shorts,"[{'label': 'Size', 'values': ['28', '29']}, {'label': 'Color', 'values': ['Gray', 'Orange', 'Purple']}]"
